Datum,Název,Místo konání,Popis
08.06.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
08.06.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
08.06.2025,Bleší a farmářské trhy,Málkov,všeobecné (bleší trh)
08.06.2025,Burza Držkov,Držkov,auto-moto, všeobecné (bleší trh)
14.06.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
14.06.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
14.06.2025,Sobotní trhy Ústí nad Labem,Ústí nad Labem,všeobecné (bleší trh)
14.06.2025,Bleší trhy Ostrava,Ostrava,všeobecné (bleší trh), starožitnosti
14.06.2025,Bleší trhy Most,Most,všeobecné (bleší trh)
14.06.2025,Liberecké Všehotrhy,Liberec 7,všeobecné (bleší trh)
15.06.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
15.06.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
15.06.2025,Bleší a farmářské trhy,Málkov,všeobecné (bleší trh)
21.06.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
21.06.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
21.06.2025,Sobotní trhy Ústí nad Labem,Ústí nad Labem,všeobecné (bleší trh)
21.06.2025,Bleší trhy Most,Most,všeobecné (bleší trh)
21.06.2025,Bleší trhy a ARTTRH Brno,Brno,všeobecné (bleší trh), ostatní
22.06.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
22.06.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
22.06.2025,Bleší a farmářské trhy,Málkov,všeobecné (bleší trh)
22.06.2025,Bleší trhy Přerov,Přerov,všeobecné (bleší trh)
22.06.2025,Burza Držkov,Držkov,auto-moto, všeobecné (bleší trh)
28.06.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
28.06.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
28.06.2025,Sobotní trhy Ústí nad Labem,Ústí nad Labem,všeobecné (bleší trh)
28.06.2025,Bleší trhy Most,Most,všeobecné (bleší trh)
28.06.2025,Liberecké Všehotrhy,Liberec 7,všeobecné (bleší trh)
29.06.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
29.06.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
29.06.2025,Bleší a farmářské trhy,Málkov,všeobecné (bleší trh)
04.07.2025,Zákupské trhy,Zákupy,všeobecné (bleší trh)
05.07.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
05.07.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
05.07.2025,Sobotní trhy Ústí nad Labem,Ústí nad Labem,všeobecné (bleší trh)
05.07.2025,Zákupské trhy,Zákupy,všeobecné (bleší trh)
05.07.2025,Bleší trhy Most,Most,všeobecné (bleší trh)
05.07.2025,Burza ZÁTOKA,Slavonice - Vlastkovec,všeobecné (bleší trh)
06.07.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
06.07.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
06.07.2025,Bleší a farmářské trhy,Málkov,všeobecné (bleší trh)
06.07.2025,Burza Držkov,Držkov,auto-moto, všeobecné (bleší trh)
06.07.2025,Burza ZÁTOKA,Slavonice - Vlastkovec,všeobecné (bleší trh)
06.07.2025,Bleší trh Golčův Jeníkov,Golčův Jeníkov,všeobecné (bleší trh)
12.07.2025,Bleší trhy Plzeň,Plzeň,všeobecné (bleší trh)
12.07.2025,Bleší trhy Praha,Praha 9,všeobecné (bleší trh)
12.07.2025,Sobotní trhy Ústí nad Labem,Ústí nad Labem,všeobecné (bleší trh)
12.07.2025,Bleší trhy Most,Most,všeobecné (bleší trh)
12.07.2025,Liberecké Všehotrhy,Liberec 7,všeobecné (bleší trh)
